mse,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
1.3100729604603042e-14,98.73523792220422,98.15372497926799,2.0146980201053815,0.1742142066977137,-1.329224821699264,-0.3382163150136313,89
3.0164195449679197e-15,98.75400867882544,98.18190821517541,1.9823987033758972,0.1707484176195937,-1.3273022564364003,-0.33856407721173787,90
3.1651808375376876e-15,98.78715092055143,98.21627659099259,1.9586313697988846,0.17031673167676642,-1.325637201535797,-0.3386302794536507,91
2.094850746106261e-17,98.80732273471796,98.24306064762362,1.9379091511096695,0.15853101426270744,-1.3202768898385546,-0.33706436596334777,92
1.7627674682492923e-15,98.82347800940659,98.26487219697988,1.9178264299575103,0.12911962052101789,-1.3213778177394495,-0.3362294292549193,93
4.035700742100195e-15,98.84763569040709,98.29244666508916,1.8945201911563796,0.13658586284011953,-1.3140001703003585,-0.33770355656822937,94
4.422624346932219e-15,98.86673989458181,98.31679843780539,1.8727120739017813,0.1415639070794743,-1.3125134987340132,-0.33787006094211497,95
4.72130078691447e-15,98.88656192035683,98.34037529040363,1.8521353556243916,0.137592384567788,-1.3357137321134571,-0.3379425275780013,96
3.591660509089369e-15,98.89926096132643,98.36002067104374,1.8319414442899056,0.13201223347162383,-1.3290095262445347,-0.3385889398974043,97
1.8644646609122636e-14,98.91476787506397,98.38354391887006,1.804407866209233,0.13834660842413538,-1.334581901428943,-0.3380083927450762,98
2.3448097153665156e-14,98.93044300740948,98.40370076667348,1.7845843718945693,0.137590431063348,-1.2918421192660894,-0.33508249329348333,99
2.12914429563393e-14,98.9413965871328,98.420922848897,1.7624026049456074,0.13753318993223385,-1.3074260774945998,-0.33547142360195387,100
2.3459009303898914e-14,98.95427183210056,98.43778943449598,1.734742251897617,0.1461379403821601,-1.2800244176486393,-0.33566898927180816,101
2.4887934955072233e-14,98.96786381858129,98.4575637732358,1.7153317016974126,0.14576277172362584,-1.2803522936219491,-0.3355622874144214,102
1.4679580770904185e-14,98.9804331020741,98.47997169405285,1.6891666619475303,0.1498152914556714,-1.3465012510265795,-0.33256478212774004,103
7.016563784357704e-15,98.99633513401804,98.51048718484327,1.6415079785206863,0.17717033014223604,-1.505396645185535,-0.33650338742042507,104
7.365057572165915e-15,99.01347981290581,98.5323426057027,1.6199544153701564,0.17990546043497346,-1.5268745749134318,-0.3364677365095659,105
7.352414900067259e-15,99.03038843355986,98.55331190822507,1.5995595826627629,0.17778237279051323,-1.5294800129652715,-0.3364551829517319,106
