mse,sqr_percentage,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
1.0874975411916401e-17,99.967545,99.047485,98.58561,1.5831143,0.0011571646,-0.0011797696,-1.9248956814408302e-05,108
7.96166025242714e-17,99.96886,99.06242,98.60636,1.5538421,0.0011594146,-0.0011115819,-1.7776908352971078e-05,109
1.7126753189055195e-15,99.96952,99.07168,98.625206,1.5266715,0.0011391491,-0.0010130703,-1.6061211936175824e-05,110
1.6137910784401233e-15,99.970375,99.08078,98.64477,1.4985669,0.0011165738,-0.0009633601,-1.6150553710758687e-05,111
1.2344489255131646e-15,99.97103,99.087685,98.663994,1.465006,0.0011449009,-0.0010722578,-1.3687899336218834e-05,112
2.2853223518995205e-15,99.97188,99.09769,98.68283,1.4356202,0.0011284351,-0.0010920763,-1.1757020838558673e-05,113
2.0421100280143396e-15,99.97262,99.11016,98.70047,1.4194357,0.0011633039,-0.00123775,-1.6625877469778062e-05,114
2.2203165299740185e-15,99.973335,99.12103,98.71948,1.4035501,0.0011084229,-0.0012204349,-1.6991645097732543e-05,115
7.024334177060569e-15,99.974106,99.13187,98.73549,1.3789768,0.001113072,-0.0012244582,-1.7700977623462676e-05,116
5.209022188646578e-15,99.97494,99.14585,98.7553,1.3586837,0.0011294782,-0.0012588352,-1.9989274442195892e-05,117
4.266726776544161e-15,99.97591,99.16048,98.77724,1.3322805,0.001051724,-0.0011649132,-6.831036880612374e-06,118
4.2656871935117364e-15,99.97693,99.17203,98.79567,1.3102584,0.0010174364,-0.0011730492,-6.911009550094605e-06,119
3.2957880033989652e-15,99.97769,99.185715,98.815865,1.3062594,0.0010058433,-0.0011559427,-7.628258317708969e-06,120
1.892715052637472e-15,99.97815,99.19685,98.831276,1.2847223,0.0010097921,-0.0011051297,-8.348524570465088e-06,121
4.547690533378112e-16,99.97859,99.20516,98.84708,1.2618672,0.0010162294,-0.0011020303,-7.377201691269875e-06,122
6.63072627083049e-16,99.97878,99.216095,98.86417,1.2394377,0.0010970384,-0.0011223555,-6.452389061450958e-06,123
8.05100611846599e-16,99.9792,99.22607,98.88498,1.200242,0.0011098534,-0.0010463893,-9.43186692893505e-06,124
9.052776747645866e-16,99.97991,99.23584,98.9011,1.1695879,0.0009827763,-0.0010528862,-8.644238114356995e-06,125
8.843776226286321e-16,99.98053,99.24733,98.91635,1.1497682,0.0010009706,-0.0012051165,-6.6555850207805635e-06,126
7.129012163359454e-16,99.98093,99.26028,98.93398,1.1315777,0.0009846091,-0.0011775196,-3.586765378713608e-06,127
1.2137420536346832e-16,99.98123,99.26721,98.94519,1.1167958,0.0009857863,-0.0011742711,-3.7325732409954073e-06,128
1.285006402480087e-16,99.98178,99.27683,98.95979,1.0989522,0.001061961,-0.0011230558,-4.253443330526352e-06,129
1.735179263016971e-16,99.982155,99.28641,98.97314,1.0870647,0.0011258125,-0.0010307506,8.961120620369911e-06,130
1.0934425488063385e-16,99.98256,99.297165,98.98803,1.07365,0.000992924,-0.0010660365,7.496532052755356e-06,131
1.4349062110759922e-15,99.98292,99.30554,98.99931,1.0623657,0.0010498688,-0.00138174,-9.480863809585571e-06,132
1.3937024076930316e-15,99.983376,99.31703,99.01601,1.0467957,0.0012699068,-0.0013779998,-5.461592227220535e-06,133
2.3293059205962273e-15,99.98391,99.32649,99.02909,1.0340366,0.0013344586,-0.0013676137,-2.193349413573742e-05,134
3.0603571506353064e-15,99.98424,99.33716,99.04214,1.0264131,0.0013360828,-0.0013576895,-2.324971370398998e-05,135
3.0489258032657907e-15,99.98458,99.34538,99.05233,1.0157216,0.0012689382,-0.0015565157,-3.142420202493668e-05,136
1.1386825642734482e-15,99.984886,99.35414,99.0616,1.0080403,0.0012772232,-0.0015496016,-3.244843333959579e-05,137
1.258141711693155e-15,99.98531,99.358826,99.06969,1.0001173,0.0014136881,-0.0013321564,-1.0070949792861939e-05,138
7.810376537671092e-16,99.98553,99.36489,99.07794,0.993984,0.0013859719,-0.0012371317,-1.1396324262022971e-05,139
7.768553054256297e-16,99.98594,99.374405,99.089325,0.9858911,0.0014396608,-0.0013106167,-1.3649500906467439e-05,140
6.422922589311235e-16,99.98618,99.381134,99.098305,0.98047847,0.0014175326,-0.0013177767,9.417813271284103e-06,141
5.889359559444468e-16,99.9864,99.388,99.1065,0.9731437,0.0017178953,-0.0017363355,1.5859734266996382e-05,142
1.1953878309273341e-17,99.986626,99.39406,99.11395,0.96822464,0.0016399622,-0.0018923357,-9.529013186693191e-07,143
8.156685856117188e-18,99.98698,99.396576,99.12,0.96127653,0.001571402,-0.0021978468,8.166506886482238e-06,144
5.805252291473156e-18,99.987144,99.402084,99.12652,0.95670164,0.0016450882,-0.00211972,8.460860699415208e-06,145
1.3667293771945496e-17,99.98738,99.40819,99.13391,0.9517889,0.0017847419,-0.0020446926,5.5775884538888934e-06,146
1.240328033733373e-16,99.98752,99.41345,99.14038,0.94618785,0.0017797053,-0.0020161495,7.015792652964592e-06,147
1.3636833829282433e-16,99.9878,99.42018,99.1502,0.9394687,0.0017786175,-0.0019091964,6.625903770327568e-06,148
1.361418485797683e-16,99.98793,99.424484,99.15642,0.9335442,0.0016900748,-0.0019326136,6.134938448667526e-06,149
1.1911823462106807e-16,99.988075,99.42846,99.16304,0.9265921,0.0019584298,-0.0017192513,4.086475819349289e-06,150
1.216518878268913e-16,99.98839,99.43408,99.17112,0.9173548,0.0018552691,-0.0016406775,3.6087166517972945e-06,151
1.1251437837409292e-16,99.98859,99.43991,99.17814,0.90911597,0.0017553568,-0.0018966198,1.7675478011369706e-06,152
1.4543332350713228e-17,99.98866,99.443375,99.186035,0.89556015,0.001789242,-0.0018742308,6.842203438282013e-06,153
5.44465553173514e-19,99.98893,99.449326,99.194534,0.88575935,0.0017913729,-0.0018692985,7.4815191328525546e-06,154
5.9897953140943984e-18,99.98915,99.452415,99.200455,0.878873,0.0020355135,-0.002017811,8.553564548492431e-06,155
9.417752998500096e-21,99.989365,99.45807,99.20741,0.87255514,0.0020229071,-0.0020138323,8.348003029823304e-06,156
4.2296476382253083e-17,99.98968,99.464455,99.21628,0.8627251,0.0017854124,-0.0023727268,-5.335398018360138e-06,157
6.677735923584026e-17,99.990005,99.46941,99.22406,0.85257006,0.0018200427,-0.0022132471,-2.2299233824014663e-05,158
1.5160429591160367e-17,99.9902,99.474266,99.23078,0.8460392,0.0020799711,-0.002429165,-3.0148401856422423e-05,159
2.275525938207861e-17,99.99046,99.47876,99.23814,0.8368091,0.0025180876,-0.0025941208,-2.80131958425045e-05,160
2.982616477317787e-17,99.99066,99.48285,99.24451,0.83075076,0.002394408,-0.00271222,-2.6889443397521972e-05,161
1.2021279326057553e-17,99.990746,99.488106,99.25201,0.8217169,0.0024421066,-0.0027110204,-2.7846843004226684e-05,162
1.8050549571371428e-16,99.990875,99.49342,99.26025,0.8123544,0.0023429468,-0.0030679852,-1.3892725110054017e-05,163
1.8848688423568983e-16,99.99097,99.498535,99.26741,0.80596846,0.0024039,-0.0029636025,-1.3135764747858048e-05,164
1.2414591042665168e-16,99.991135,99.50209,99.27327,0.7993794,0.0024068207,-0.0028416365,-8.758772164583206e-06,165
1.0411562275294293e-16,99.99124,99.505714,99.28049,0.7894055,0.0023984015,-0.0028441176,-8.351821452379227e-06,166
2.046520284546928e-16,99.99137,99.51125,99.28908,0.77991396,0.0025054663,-0.003326118,1.6725528985261918e-06,167
2.7062174336459917e-16,99.991455,99.51651,99.29694,0.7701974,0.0025002062,-0.0033304393,1.4165695756673813e-06,168
4.350293297887679e-16,99.99174,99.522575,99.30619,0.76036745,0.0026948527,-0.0032461435,7.415181025862694e-06,169
4.829706394418998e-16,99.99181,99.5282,99.31471,0.751332,0.0026677921,-0.0032735988,4.146834835410118e-06,170
4.504472568807956e-16,99.99202,99.53425,99.32242,0.7433099,0.002678968,-0.0032961369,3.856327384710312e-06,171
1.592004080522423e-16,99.99217,99.53871,99.32966,0.7307097,0.0028069913,-0.0031140596,1.4200918376445771e-05,172
2.60846984194917e-17,99.99234,99.54499,99.337975,0.7233909,0.0026738867,-0.0032344311,4.51045110821724e-06,173
3.721553802759733e-17,99.99237,99.55153,99.34695,0.7163435,0.0026752576,-0.0032117218,4.826970398426056e-06,174
4.374316339228848e-17,99.99265,99.55719,99.35577,0.70951074,0.0027072653,-0.0031322017,7.070880383253098e-06,175
